gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Wnt12,152.74,3.3121,0.3488,2.208e-21,9.276e-19
Eif3,383.50,-3.0019,0.3203,7.196e-21,1.511e-18
Elavl3l,1935.13,2.7686,0.3041,8.775e-20,9.583e-18
Wnt1,3746.85,2.7492,0.3021,9.127e-20,9.583e-18
Rbfox6,14969.40,-2.5610,0.3005,1.576e-17,1.324e-15
Rps2b,13376.71,2.4324,0.3006,5.885e-16,4.119e-14
Ddx11,133.52,2.7980,0.3553,3.417e-15,1.798e-13
Fto2,108.28,2.8900,0.3670,3.425e-15,1.798e-13
Ddx5,105.04,-2.7334,0.3689,1.265e-13,5.904e-12
Dnda,186.76,-2.5171,0.3405,1.434e-13,6.025e-12
Fto8,229.86,-2.4469,0.3333,2.097e-13,7.348e-12
Gataa,155.46,2.5554,0.3480,2.099e-13,7.348e-12
Mov8,9219.65,2.1969,0.3009,2.839e-13,9.171e-12
Fgf8,1126.80,2.1846,0.3071,1.125e-12,3.375e-11
Elavl12,776.34,2.1304,0.3102,6.543e-12,1.832e-10
Hox2,778.35,2.0845,0.3102,1.818e-11,4.773e-10
Ddx9,727.44,-2.0364,0.3109,5.746e-11,1.420e-09
Mex2,13017.22,-1.8963,0.3006,2.826e-10,6.593e-09
Wnt7,153.55,-2.1768,0.3486,4.253e-10,9.401e-09
Eif12,39.05,-2.8106,0.4625,1.229e-09,2.581e-08
Cpeb3l,1937.69,1.7736,0.3041,5.494e-09,1.099e-07
Upfa,858.07,1.8004,0.3093,5.831e-09,1.113e-07
Hnrnp5,13276.15,-1.7022,0.3006,1.490e-08,2.722e-07
Pum1a,702.12,-1.7481,0.3113,1.955e-08,3.422e-07
Mex8,40.94,2.4591,0.4563,7.072e-08,1.188e-06
Bmpb,6286.60,-1.6114,0.3013,8.864e-08,1.432e-06
Rpl5,122.16,1.8880,0.3600,1.572e-07,2.446e-06
Fto9,31.54,-2.4949,0.4934,4.270e-07,6.405e-06
Nanos12,6745.25,1.5118,0.3012,5.183e-07,7.507e-06
Srsf3,47.97,2.0708,0.4369,2.141e-06,2.998e-05
Pax3,3061.00,-1.4296,0.3026,2.313e-06,3.133e-05
Rbfox7,294.57,1.5302,0.3262,2.727e-06,3.579e-05
Upf2b,70.58,1.7769,0.3982,8.112e-06,1.032e-04
Agoa,694.13,-1.3504,0.3114,1.448e-05,1.789e-04
Hnrnp1,2758.04,-1.3025,0.3029,1.708e-05,2.049e-04
Pum10,21.29,2.0406,0.5633,2.916e-04,3.401e-03
Piwi8,1941.13,-1.0603,0.3041,4.897e-04,5.559e-03
Rbfox3l,16.54,-2.0320,0.6186,1.021e-03,1.128e-02
Srsfb,38.53,-1.2742,0.4644,6.071e-03,6.538e-02
Ythdc4,5.06,2.7901,1.0226,6.363e-03,6.681e-02
Linb,30.78,1.3269,0.4972,7.615e-03,7.801e-02
Mov10,8.11,-2.1568,0.8286,9.243e-03,9.243e-02
Tdrd6,9.82,-1.9732,0.7634,9.740e-03,9.513e-02
Vasab,561.49,0.7758,0.3140,1.349e-02,1.288e-01
Ddx1,1948.19,0.7251,0.3041,1.711e-02,1.597e-01
Hoxb,4.35,-2.5031,1.0965,2.244e-02,2.048e-01
Zfp2,7078.09,0.6573,0.3011,2.905e-02,2.596e-01
Pum2,6052.09,0.6433,0.3013,3.277e-02,2.867e-01
Elavll1,49.49,-0.9075,0.4334,3.625e-02,3.108e-01
Zfp5,1074.58,-0.6284,0.3074,4.095e-02,3.440e-01
Bmp5,109.20,-0.7401,0.3665,4.345e-02,3.523e-01
Dnd1,3334.76,0.6102,0.3024,4.362e-02,3.523e-01
Ythdc1a,15075.82,0.5998,0.3005,4.596e-02,3.642e-01
Ythdf11,8.36,-1.6241,0.8180,4.709e-02,3.663e-01
Hox2b,388.46,0.6173,0.3201,5.381e-02,4.109e-01
Cpeba,880.27,-0.5855,0.3090,5.815e-02,4.361e-01
Notch6,5359.71,0.5589,0.3015,6.376e-02,4.641e-01
Dnd6,1089.66,0.5690,0.3073,6.410e-02,4.641e-01
Myc5,12857.67,-0.5531,0.3006,6.579e-02,4.683e-01
Hox6,8702.50,0.5512,0.3009,6.698e-02,4.689e-01
Rbfox2,43.52,0.7288,0.4486,1.042e-01,7.177e-01
Eif1a,1741.03,0.4920,0.3046,1.063e-01,7.200e-01
Soxa,4364.73,-0.4819,0.3018,1.103e-01,7.356e-01
Ftob,290.28,0.5166,0.3266,1.137e-01,7.464e-01
Zfp1a,3242.18,-0.4757,0.3025,1.158e-01,7.481e-01
Zfp8,147.26,0.5355,0.3505,1.266e-01,7.974e-01
Eifa,109.43,0.5588,0.3664,1.272e-01,7.974e-01
Mov4,726.87,0.4718,0.3109,1.291e-01,7.974e-01
Ythdf3l,2195.03,0.4502,0.3037,1.382e-01,8.413e-01
Vasa4,30.74,0.7160,0.4975,1.501e-01,8.958e-01
Ago5,719.15,0.4456,0.3110,1.520e-01,8.958e-01
Mexa,108.72,0.5234,0.3668,1.536e-01,8.958e-01
Pum1,7008.73,0.4244,0.3011,1.587e-01,8.962e-01
Tdrd9,2454.67,0.4270,0.3033,1.591e-01,8.962e-01
Notch9,14949.84,-0.4222,0.3005,1.601e-01,8.962e-01
